responseID,surveyID,userID,QuestionID,responseText
1,1,1,1,Daily
2,1,2,2,Skill Improvement
3,1,3,3,4
4,1,4,4,Graphs
5,1,1,5,Yes
6,2,2,6,6-8
7,2,3,7,No
8,2,4,8,Distractions
9,3,1,9,Python
10,3,2,10,Simplicity
11,1,3,1,Weekly
12,1,4,2,Interview Prep
13,1,1,3,3
14,1,2,4,Arrays
15,1,3,5,No
16,2,4,6,4-6
17,2,1,7,Yes
18,2,2,8,Procrastination
19,3,3,9,Java
20,3,4,10,Performance
21,1,1,1,Monthly
22,1,2,2,Problem Solving
23,1,3,3,5
24,1,4,4,Trees
25,1,1,5,Yes
26,2,2,6,Less than 4
27,2,3,7,No
28,2,4,8,Lack of Planning
29,3,1,9,JavaScript
30,3,2,10,Versatility
31,1,3,1,Daily
32,1,4,2,Fun
33,1,1,3,2
34,1,2,4,DP
35,1,3,5,No
36,2,4,6,6-8
37,2,1,7,Yes
38,2,2,8,Social Media
39,3,3,9,C++
40,3,4,10,Performance
41,1,1,1,Weekly
42,1,2,2,Interview Prep
43,1,3,3,4
44,1,4,4,Graphs
45,1,1,5,Yes
46,2,2,6,4-6
47,2,3,7,No
48,2,4,8,Distractions
49,3,1,9,Python
50,3,2,10,Ecosystem
51,1,3,1,Monthly
52,1,4,2,Skill Improvement
53,1,1,3,3
54,1,2,4,Arrays
55,1,3,5,No
56,2,4,6,More than 8
57,2,1,7,Yes
58,2,2,8,Procrastination
59,3,3,9,Java
60,3,4,10,Community
61,1,1,1,Daily
62,1,2,2,Problem Solving
63,1,3,3,5
64,1,4,4,Trees
65,1,1,5,Yes
66,2,2,6,Less than 4
67,2,3,7,No
68,2,4,8,Lack of Planning
69,3,1,9,JavaScript
70,3,2,10,Versatility
71,1,3,1,Rarely
72,1,4,2,Fun
73,1,1,3,1
74,1,2,4,DP
75,1,3,5,No
76,2,4,6,6-8
77,2,1,7,Yes
78,2,2,8,Social Media
79,3,3,9,Go
80,3,4,10,Performance
81,1,1,1,Daily
82,1,2,2,Interview Prep
83,1,3,3,4
84,1,4,4,Graphs
85,1,1,5,Yes
86,2,2,6,4-6
87,2,3,7,No
88,2,4,8,Distractions
89,3,1,9,Python
90,3,2,10,Simplicity
91,1,3,1,Weekly
92,1,4,2,Skill Improvement
93,1,1,3,3
94,1,2,4,Arrays
95,1,3,5,No
96,2,4,6,More than 8
97,2,1,7,Yes
98,2,2,8,Procrastination
99,3,3,9,Java
100,3,4,10,Ecosystem
101,1,1,1,Daily
102,1,2,2,Problem Solving
103,1,3,3,5
104,1,4,4,Trees
105,1,1,5,Yes
106,2,2,6,Less than 4
107,2,3,7,No
108,2,4,8,Lack of Planning
109,3,1,9,JavaScript
110,3,2,10,Community
111,1,3,1,Rarely
112,1,4,2,Fun
113,1,1,3,1
114,1,2,4,DP
115,1,3,5,No
116,2,4,6,6-8
117,2,1,7,Yes
118,2,2,8,Social Media
119,3,3,9,Rust
120,3,4,10,Performance
121,1,1,1,Daily
122,1,2,2,Interview Prep
123,1,3,3,4
124,1,4,4,Graphs
125,1,1,5,Yes
126,2,2,6,4-6
127,2,3,7,No
128,2,4,8,Distractions
129,3,1,9,Python
